   [process_num_50] 2025-04-19_05-25-38    535,533.65 ops/sec  AvgPwr: 990.98 W, StartPwr: 780 W, Diff: 210.98 W
   [process_num_50] 2025-04-19_08-41-39    540,319.71 ops/sec  AvgPwr: 998.51 W, StartPwr: 780 W, Diff: 218.51 W
   [process_num_50] 2025-04-19_11-57-42    524,229.77 ops/sec  AvgPwr: 1,004.53 W, StartPwr: 792 W, Diff: 212.53 W
   ---------------------------------------------------------------------------
   [process_num_60] 2025-04-18_19-45-38    626,504.52 ops/sec  AvgPwr: 1,004.73 W, StartPwr: 792 W, Diff: 212.73 W
   [process_num_60] 2025-04-18_23-01-56    628,540.46 ops/sec  AvgPwr: 1,016.53 W, StartPwr: 792 W, Diff: 224.53 W
   [process_num_60] 2025-04-19_02-17-30    625,247.37 ops/sec  AvgPwr: 1,012.00 W, StartPwr: 780 W, Diff: 232.00 W
   [process_num_60] 2025-04-19_05-33-24    628,553.92 ops/sec  AvgPwr: 1,017.54 W, StartPwr: 792 W, Diff: 225.54 W
   [process_num_60] 2025-04-19_08-49-25    632,353.14 ops/sec  AvgPwr: 1,014.81 W, StartPwr: 780 W, Diff: 234.81 W
   [process_num_60] 2025-04-19_12-05-28    630,664.60 ops/sec  AvgPwr: 991.91 W, StartPwr: 780 W, Diff: 211.91 W
   ---------------------------------------------------------------------------
   [process_num_70] 2025-04-18_19-53-45    722,479.26 ops/sec  AvgPwr: 1,016.92 W, StartPwr: 792 W, Diff: 224.92 W
   [process_num_70] 2025-04-18_23-10-05    724,830.86 ops/sec  AvgPwr: 1,012.68 W, StartPwr: 780 W, Diff: 232.68 W
   [process_num_70] 2025-04-19_02-25-38    725,517.89 ops/sec  AvgPwr: 1,008.86 W, StartPwr: 780 W, Diff: 228.86 W
   [process_num_70] 2025-04-19_05-41-31    722,544.53 ops/sec  AvgPwr: 1,028.20 W, StartPwr: 780 W, Diff: 248.20 W
   [process_num_70] 2025-04-19_08-57-33    725,439.23 ops/sec  AvgPwr: 1,023.80 W, StartPwr: 792 W, Diff: 231.80 W
   [process_num_70] 2025-04-19_12-13-38    720,904.49 ops/sec  AvgPwr: 1,017.30 W, StartPwr: 780 W, Diff: 237.30 W
   ---------------------------------------------------------------------------
   [process_num_80] 2025-04-18_20-02-10    776,160.95 ops/sec  AvgPwr: 1,018.00 W, StartPwr: 780 W, Diff: 238.00 W
   [process_num_80] 2025-04-18_23-18-17    774,120.53 ops/sec  AvgPwr: 1,017.95 W, StartPwr: 780 W, Diff: 237.95 W
   [process_num_80] 2025-04-19_02-33-59    777,214.25 ops/sec  AvgPwr: 993.00 W, StartPwr: 780 W, Diff: 213.00 W
   [process_num_80] 2025-04-19_05-49-53    772,038.39 ops/sec  AvgPwr: 1,008.00 W, StartPwr: 780 W, Diff: 228.00 W
